ProductName,Average_Selling_Price
"Odit Item",1064.43
"Eaque Item",974.95
"Officia Item",947.44
"Ut Item",908.66
"Esse Item",902.09
"Repudiandae Item",899.34
"Vero Item",860.92
"Dolor Item",852.72
"Assumenda Item",839.69
"Nam Item",828.71
"Quia Item",826.47
"Magni Item",824.37
"Error Item",819.94
"Numquam Item",818.43
"Aspernatur Item",816.85
"Ab Item",810.08
"Sit Item",807.36
"Sunt Item",785.74
"Atque Item",780.42
"Veniam Item",779.65
"Mollitia Item",777.58
"Asperiores Item",776.74
"Nihil Item",775.2
"Excepturi Item",773.58
"Laudantium Item",771.27
"Deserunt Item",770.51
"Repellat Item",769.37
"Doloremque Item",768.93
"Adipisci Item",767.64
"Sint Item",767.19
"Exercitationem Item",763.25
"Rem Item",762.78
"Fugit Item",762.15
"Omnis Item",758.19
"Earum Item",758.02
"Maiores Item",757.86
"Reiciendis Item",756.71
"Rerum Item",753.75
"Nisi Item",751.89
"Tempora Item",750.52
"Cumque Item",750.48
"Quaerat Item",750.1
"Id Item",749.01
"Modi Item",748.65
"Aliquid Item",745.76
"Dolorem Item",738.88
"Amet Item",731.24
"Similique Item",727.67
"Et Item",727.53
"Non Item",727.11
"Ex Item",723.59
"Cupiditate Item",716.34
"Pariatur Item",715.54
"Eum Item",715.15
"Illum Item",714.39
"Totam Item",714.09
"Unde Item",713.81
"Fuga Item",712.89
"Dolores Item",711.09
"Quis Item",705.81
"Harum Item",705.28
"Quod Item",701.99
"Enim Item",700.12
"Est Item",699.49
"Recusandae Item",699.27
"Saepe Item",699.12
"Quas Item",698.82
"Praesentium Item",698.32
"Tenetur Item",698.27
"Blanditiis Item",696.91
"Eius Item",694.7
"Odio Item",694.41
"Alias Item",693.11
"Sapiente Item",691.45
"Suscipit Item",690.78
"Eveniet Item",690.46
"Vel Item",689.1
"Cum Item",689.03
"Explicabo Item",686.25
"Ipsum Item",685.42
"Quasi Item",682.83
"Iusto Item",682.24
"Iure Item",680.8
"Necessitatibus Item",678.48
"Corrupti Item",678.38
"Laboriosam Item",677.19
"Ipsam Item",677.17
"Sed Item",676.39
"At Item",675.84
"Autem Item",672.95
"Architecto Item",671.13
"Consequuntur Item",668
"Animi Item",666.38
"Voluptatem Item",666.21
"Possimus Item",665.07
"Placeat Item",664.55
"Reprehenderit Item",662.45
"Perferendis Item",661.68
"Delectus Item",660.15
"Beatae Item",659.69
"Repellendus Item",659.32
"Dignissimos Item",656.01
"Temporibus Item",652.42
"Perspiciatis Item",651.62
"Occaecati Item",650.36
"Ducimus Item",649.96
"Expedita Item",649.35
"Nemo Item",649.27
"Eos Item",648.89
"Velit Item",648.3
"Voluptatum Item",644.22
"Optio Item",644.12
"Debitis Item",643.84
"Maxime Item",640.95
"Provident Item",640.65
"Voluptas Item",632.61
"Ipsa Item",631.91
"Minus Item",631.67
"Quibusdam Item",631.15
"Fugiat Item",630.45
"Corporis Item",629.94
"Accusantium Item",629.81
"Qui Item",627.39
"Quam Item",625.85
"Voluptate Item",625.19
"Illo Item",625.05
"Veritatis Item",623.03
"Accusamus Item",621.61
"Aliquam Item",620.5
"Dolorum Item",619.77
"Iste Item",616.3
"Voluptatibus Item",612.46
"Culpa Item",610.21
"Ullam Item",609.96
"Voluptates Item",609.86
"Libero Item",606.94
"Consequatur Item",606.61
"In Item",605.85
"Doloribus Item",605.38
"Incidunt Item",600.8
"Sequi Item",598.9
"Eligendi Item",597.25
"Magnam Item",592.8
"Inventore Item",586.77
"Dicta Item",585.68
"Laborum Item",585.41
"Aperiam Item",583.83
"Impedit Item",581.05
"Labore Item",580.54
"Hic Item",580.25
"Quisquam Item",579.8
"Molestiae Item",575.74
"A Item",574.79
"Quo Item",569.49
"Nobis Item",567.52
"Dolore Item",566.28
"Vitae Item",564.45
"Ea Item",561.05
"Soluta Item",558.12
"Tempore Item",557.88
"Deleniti Item",555.32
"Distinctio Item",548.05
"Nesciunt Item",547.95
"Nulla Item",540.62
"Ratione Item",537.79
"Quae Item",537.31
"Consectetur Item",536.68
"Officiis Item",534.59
"Natus Item",531.35
"Facere Item",522.46
"Quos Item",514.36
"Facilis Item",503.31
"Aut Item",486.82
"Molestias Item",472.92
"Itaque Item",470.47
"Porro Item",466.84
"Quidem Item",466.14
"Neque Item",461.5
"Nostrum Item",445.43
"Minima Item",429.08
"Ad Item",423.88
"Commodi Item",414.18
